,Unnamed: 0,Metadata,Sex,Cell Type,Time Point,Tissue,Ontology,GO.ID,Term,Annotated,Significant,Expected,Fisher
0,1,L2_3_IT_M_E18_WB_BP,M,L2_3_IT,E18,WB,BP,GO:0021954,central nervous system neuron development,89,15,3.41,1.3e-06
1,2,L2_3_IT_M_E18_WB_BP,M,L2_3_IT,E18,WB,BP,GO:0043524,negative regulation of neuron apoptotic process,168,19,6.43,2.4e-05
2,3,L2_3_IT_M_E18_WB_BP,M,L2_3_IT,E18,WB,BP,GO:1902476,chloride transmembrane transport,43,9,1.65,2.9e-05
3,4,L2_3_IT_M_E18_WB_BP,M,L2_3_IT,E18,WB,BP,GO:0030007,cellular potassium ion homeostasis,11,5,0.42,3.1e-05
4,5,L2_3_IT_M_E18_WB_BP,M,L2_3_IT,E18,WB,BP,GO:0099560,synaptic membrane adhesion,34,8,1.3,3.3e-05
5,6,L2_3_IT_M_E18_WB_BP,M,L2_3_IT,E18,WB,BP,GO:0010976,positive regulation of neuron projection development,209,21,8.0,5.3e-05
6,7,L2_3_IT_M_E18_WB_BP,M,L2_3_IT,E18,WB,BP,GO:0007612,learning,166,20,6.35,0.00012
7,8,L2_3_IT_M_E18_WB_BP,M,L2_3_IT,E18,WB,BP,GO:0099550,"trans-synaptic signaling, modulating synaptic transmission",14,5,0.54,0.00012
8,9,L2_3_IT_M_E18_WB_BP,M,L2_3_IT,E18,WB,BP,GO:0006904,vesicle docking involved in exocytosis,41,8,1.57,0.00014
9,10,L2_3_IT_M_E18_WB_BP,M,L2_3_IT,E18,WB,BP,GO:0002181,cytoplasmic translation,90,12,3.45,0.00016
10,11,L2_3_IT_M_E18_WB_BP,M,L2_3_IT,E18,WB,BP,GO:0050885,neuromuscular process controlling balance,65,10,2.49,0.00017
11,12,L2_3_IT_M_E18_WB_BP,M,L2_3_IT,E18,WB,BP,GO:0045744,negative regulation of G protein-coupled receptor signaling pathway,54,9,2.07,0.00019
12,13,L2_3_IT_M_E18_WB_BP,M,L2_3_IT,E18,WB,BP,GO:0007268,chemical synaptic transmission,651,76,24.92,0.0002
13,14,L2_3_IT_M_E18_WB_BP,M,L2_3_IT,E18,WB,BP,GO:0021527,spinal cord association neuron differentiation,9,4,0.34,0.00023
14,15,L2_3_IT_M_E18_WB_BP,M,L2_3_IT,E18,WB,BP,GO:2000300,regulation of synaptic vesicle exocytosis,81,11,3.1,0.00025
15,16,L2_3_IT_M_E18_WB_BP,M,L2_3_IT,E18,WB,BP,GO:0035640,exploration behavior,34,7,1.3,0.00025
16,17,L2_3_IT_M_E18_WB_BP,M,L2_3_IT,E18,WB,BP,GO:0001764,neuron migration,175,19,6.7,0.00031
17,18,L2_3_IT_M_E18_WB_BP,M,L2_3_IT,E18,WB,BP,GO:0010001,glial cell differentiation,225,20,8.61,0.00041
18,19,L2_3_IT_M_E18_WB_BP,M,L2_3_IT,E18,WB,BP,GO:0042311,vasodilation,48,8,1.84,0.00043
19,20,L2_3_IT_M_E18_WB_BP,M,L2_3_IT,E18,WB,BP,GO:0048485,sympathetic nervous system development,18,5,0.69,0.00046
0,1,L2_3_IT_M_E18_WB_CC,M,L2_3_IT,E18,WB,CC,GO:0098978,glutamatergic synapse,312,45,11.88,9.8e-15
1,2,L2_3_IT_M_E18_WB_CC,M,L2_3_IT,E18,WB,CC,GO:0022627,cytosolic small ribosomal subunit,45,17,1.71,2.4e-13
2,3,L2_3_IT_M_E18_WB_CC,M,L2_3_IT,E18,WB,CC,GO:0098982,GABA-ergic synapse,69,16,2.63,4.6e-09
3,4,L2_3_IT_M_E18_WB_CC,M,L2_3_IT,E18,WB,CC,GO:0043025,neuronal cell body,650,56,24.75,8.3e-09
4,5,L2_3_IT_M_E18_WB_CC,M,L2_3_IT,E18,WB,CC,GO:0045211,postsynaptic membrane,248,35,9.44,4.7e-08
5,6,L2_3_IT_M_E18_WB_CC,M,L2_3_IT,E18,WB,CC,GO:0014069,postsynaptic density,318,39,12.11,1.6e-07
6,7,L2_3_IT_M_E18_WB_CC,M,L2_3_IT,E18,WB,CC,GO:0030425,dendrite,667,66,25.4,3.9e-07
7,8,L2_3_IT_M_E18_WB_CC,M,L2_3_IT,E18,WB,CC,GO:0022625,cytosolic large ribosomal subunit,52,12,1.98,4.2e-07
8,9,L2_3_IT_M_E18_WB_CC,M,L2_3_IT,E18,WB,CC,GO:0045202,synapse,1198,138,45.61,1.4e-06
9,10,L2_3_IT_M_E18_WB_CC,M,L2_3_IT,E18,WB,CC,GO:0030424,axon,662,63,25.21,2.8e-06
10,11,L2_3_IT_M_E18_WB_CC,M,L2_3_IT,E18,WB,CC,GO:0042734,presynaptic membrane,122,22,4.65,9.2e-06
11,12,L2_3_IT_M_E18_WB_CC,M,L2_3_IT,E18,WB,CC,GO:0031594,neuromuscular junction,81,13,3.08,1.1e-05
12,13,L2_3_IT_M_E18_WB_CC,M,L2_3_IT,E18,WB,CC,GO:0005887,integral component of plasma membrane,946,75,36.02,1.3e-05
13,14,L2_3_IT_M_E18_WB_CC,M,L2_3_IT,E18,WB,CC,GO:0030315,T-tubule,64,11,2.44,2.6e-05
14,15,L2_3_IT_M_E18_WB_CC,M,L2_3_IT,E18,WB,CC,GO:0042788,polysomal ribosome,35,8,1.33,4e-05
