"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Oaz1",-1.40826933139533,0.677828177732229,-15.3897479530325,9.46457424556484e-50,1.5650619972466e-45,101.111762848713
"Rpl8",-1.41128087520419,0.718728438943511,-14.2962334087314,1.42227515726311e-43,1.17593710002514e-39,87.2731034310013
"Hnrnpa2b1",-1.57511935561472,1.19937355321236,-13.7742040176761,9.57682283241682e-41,5.27874474522815e-37,80.9380329476852
"Cst3",-1.09436900971828,0.52307277574006,-12.3654704735062,1.59657119716817e-33,6.60022532909323e-30,64.7680074205753
"AC149090.1",-1.45570963488881,1.64227481165205,-12.1225529293464,2.43091457977694e-32,8.03952069823829e-29,62.1215142236395
"Atp5g3",-1.12288439490336,0.638164560153868,-11.911981093681,2.48600030372521e-31,6.85141683706669e-28,59.8622280147822
"Calm1",-1.32335786441062,1.14436664883593,-11.7007194676473,2.47763776354627e-30,5.85288829400016e-27,57.6283773211202
"Tmem59l",-1.09870806883966,0.696114050222406,-11.2588342906099,2.7230147991755e-28,5.62847158989575e-25,53.0637384892673
"Ly6h",-1.05296823612577,0.609335163286087,-11.0700249285133,1.93760728257797e-27,3.56003044718992e-24,51.1584040217059
"Chd3os",-0.940924868817189,0.508519669192285,-10.9596666247776,6.0230282361586e-27,9.95967949131186e-24,50.0573737544468
"Nap1l5",-1.16123716327969,0.840494648884991,-10.8157337053776,2.60617425880362e-26,3.91779068577969e-23,48.6354669455174
"Slc25a4",-1.0742823841397,0.717132467700221,-10.6876644807607,9.46525444670697e-26,1.30431206275622e-22,47.3837645835067
"Pgrmc1",-0.966617451065529,0.542615554830817,-10.549560789713,3.74837987673405e-25,4.76793920320571e-22,46.0483057448917
"Hap1",-1.11885709905635,0.720610108058667,-10.3274479286115,3.32149678980947e-24,3.92316220830639e-21,43.931857623563
"Rpl27a",-0.772260437192549,0.345530685576498,-10.1282648343619,2.27204944378958e-23,2.50470730683364e-20,42.0670666251277
"C130073E24Rik",-1.04761625458224,0.584307704388464,-10.0601008901949,4.35521121897831e-23,4.50111079481408e-20,41.4361534575351
"Actg1",-1.14976932344324,1.16134758131115,-9.85113524273673,3.12706038777846e-22,3.04171003366497e-19,39.5251957391563
"Actb",-1.169140664833,1.23341100678463,-9.82832394565779,3.86954018245489e-22,3.55481758094856e-19,39.3187157752008
"Malat1",0.509544245925245,6.41350163532611,9.47029622082953,1.03647971836752e-20,9.02064664364486e-18,36.1332189812362
"Tmem59",-0.748224139811208,0.397143018309729,-9.42375001536548,1.57699315551882e-20,1.30385794098296e-17,35.7267534371445
"Mettl26",-0.542828160622651,0.207281997788663,-9.20602697834388,1.09657403611156e-19,8.63473726720986e-17,33.8491104425538
"Snrnp70",-1.06216254804166,1.4927808122679,-9.15848123588539,1.66600495292675e-19,1.25222990461803e-16,33.4442753735092
"Syngr3",-0.760157824960173,0.470977753534979,-8.87122573774089,2.00251183544502e-18,1.42172446190837e-15,31.0383129603739
