"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ttr",-1.04804009586142,1.08599100483407,-9.04607550134462,2.8072320801649e-19,4.46321828425418e-15,32.9997690343039
"Grid2",0.199108527588096,0.0622763344534625,6.85153409038616,9.06561048591705e-12,4.82665220075774e-08,16.224999092731
"Malat1",1.1203124800394,2.66400157919788,6.81323563208877,1.17856750391283e-11,4.82665220075774e-08,15.9716817796405
"Rps11",-0.858213957865217,2.28928419085377,-6.80886011528188,1.21432849883835e-11,4.82665220075774e-08,15.9428280105592
"Tmsb4x",-0.592739828138218,3.44191200811505,-6.37622230975992,2.13664152370268e-10,6.79409271706977e-07,13.1783592729443
"Tfap2b",0.154889693763385,0.0316909415462179,6.27391123000644,4.10364108181998e-10,1.08739649266426e-06,12.5503018850727
"Hbb-bt",-0.789195539900702,1.85510547983568,-6.23340535823746,5.29922372225903e-10,1.20360511371709e-06,12.3043714089228
"Ncam1",0.68122332518434,0.959256008459587,6.02559781711305,1.92055610163285e-09,3.81686518248258e-06,11.0670031193314
"Tcf7l2",0.363243895335946,0.213807275841406,5.93619334255952,3.30081316350586e-09,5.46638934003451e-06,10.5472023710808
"Meg3",0.793318642346445,0.781320009775241,5.92941090885953,3.43819695580509e-09,5.46638934003451e-06,10.5080775899673
"Ptgds",-0.545616496594127,0.54707825871787,-5.89491944626779,4.22768935946881e-09,6.11054846601769e-06,10.3097856538105
"March1",0.320552566381726,0.204554184888619,5.63941620476434,1.88818161038661e-08,2.34568096126803e-05,8.87600250432631
"Magi2",0.334282175698496,0.241921379621648,5.63668713746428,1.91797298550125e-08,2.34568096126803e-05,8.86102242158924
"Rbm3",-0.571391800754022,0.717619880098205,-5.59485066819596,2.43605467416484e-08,2.75398291145482e-05,8.63226424568373
"Srek1",0.397986316792642,0.355052997088457,5.57564961632807,2.71711735710295e-08,2.75398291145482e-05,8.52783150070408
"Fam13b",0.313734043175495,0.210081114226373,5.5691786898762,2.81874636383051e-08,2.75398291145482e-05,8.49271569556092
"Dnm1",0.264586754620307,0.134938517434355,5.56146652882149,2.9446952320732e-08,2.75398291145482e-05,8.45091607902901
"Actb",-0.397343407552237,3.85293679648382,-5.52225005395803,3.67452646859893e-08,3.24562757356969e-05,8.23923943340626
"Ptprt",0.306964493687627,0.199512696993523,5.51227641467793,3.88648864797581e-08,3.25217279021934e-05,8.18563861032317
"Nfat5",0.233981689967353,0.132979838379401,5.50037969513123,4.154862699088e-08,3.30290810264001e-05,8.12182646097126
"Ptma",-0.621199008216764,2.97414583841949,-5.48589794166813,4.50587759558306e-08,3.41137847105595e-05,8.04433036472881
"Csmd1",0.273481045823767,0.16195937280933,5.44725759458841,5.58911267654831e-08,4.03915011111098e-05,7.83853156575054
"Aff2",0.283215621628532,0.173612249223304,5.40838758078902,6.93184318808402e-08,4.79171194988469e-05,7.63294411732921
"Tmsb10",-0.25977236917796,4.76961589305281,-5.35714511685325,9.18707077936762e-08,6.08605159671524e-05,7.36411736759095
"Nefl",0.395294818505296,0.332707936139074,5.30488297781646,1.22134229499953e-07,7.76724845927903e-05,7.09251980120413
"Car8",0.120868937645888,0.0289968337610094,5.27899503075139,1.40501194417094e-07,8.5137557880804e-05,6.95894940286743
"Ndst3",0.125813921503397,0.0375355251839306,5.2736896538069,1.44582304722417e-07,8.5137557880804e-05,6.93165495259876
"Hs3st5",0.164366877020208,0.062303551101086,5.25201060732296,1.62483340516383e-07,9.00052792356174e-05,6.82040242573725
"Mir124a-1hg",0.349951430065846,0.297119010416327,5.25008765361141,1.64170897404422e-07,9.00052792356174e-05,6.81055587295388
"Snhg11",0.430559262292221,0.284547356133698,5.23758204233594,1.75566650564312e-07,9.30444725773999e-05,6.74660657471508
"Scmh1",0.240882508694995,0.156560140189747,5.19899281457309,2.15763037651396e-07,0.000110658597923211,6.55021619223139
"Luzp2",0.32809925278364,0.23898302490545,5.15336568354379,2.74826262978297e-07,0.000136545711096623,6.31984340063025
"Tmem132a",0.24457448201161,0.140632279579566,5.12921048689389,3.12136859663598e-07,0.000150383755508835,6.19868849001623
"Dcc",0.220151190500457,0.116100681872491,5.12210736340563,3.24009351559481e-07,0.0001515124906013,6.16316756877941
"Apoe",0.392643324858666,0.339359163032268,5.10501205754146,3.54398853947842e-07,0.000160988210826193,6.07787603845377
"Rpl9-ps6",-0.654871024324005,1.93738365246665,-5.09083036675269,3.8168127661518e-07,0.000168565294914021,6.00733313426493
"Igfbpl1",-0.578754028025695,0.959978490009996,-5.0844146086416,3.94679868722437e-07,0.000169595006292379,5.97548291114793
"Prkg1",0.137406584369026,0.0536679773614235,5.07825875228219,4.07553039535583e-07,0.00017051804672569,5.9449599491232
"Lhfpl3",0.220187392879252,0.118602090217923,5.05176769885055,4.67728117584628e-07,0.000190677162602,5.8140214071072
"Pcp2",0.062602843103064,0.00817902697586523,5.03618473637847,5.07039459566511e-07,0.000201535509191199,5.73731245323986
"Mab21l1",0.103801050407373,0.0264935585494416,4.92420022506669,8.99494084400631e-07,0.000348806254826479,5.19289413562763
"Trpc3",0.0591502666087215,0.00970179684371433,4.913644599346,9.48857893379239e-07,0.00035048787531732,5.14219695412756
"Cadm2",0.413098391631347,0.441730057093617,4.90996787189238,9.66657244576263e-07,0.00035048787531732,5.1245632257842
"Brinp1",0.229684730958982,0.137534164567776,4.90929188705411,9.69964558397515e-07,0.00035048787531732,5.12132258613912
"Nsun7",0.13675704930945,0.0571710341718149,4.89822286432384,1.0256963487896e-06,0.000362389916653463,5.06832051370333
"Rapgef5",0.257339159716262,0.176018336317429,4.88475633241121,1.09766459648362e-06,0.00037938629172811,5.00399674955098
"Rpl37a",-0.614713121557614,2.20778522978861,-4.85603099951385,1.26778002018662e-06,0.000413310335405608,4.86736933031015
"Nav2",0.272629795062993,0.204313213212424,4.8555494398768,1.27083757818267e-06,0.000413310335405608,4.86508561297446
"Cnpy1",0.0587288274919707,0.00934568568373189,4.85508333178362,1.27380378859518e-06,0.000413310335405608,4.86287538385035
"C130073E24Rik",0.228354427460533,0.115057241836215,4.8136820878663,1.56560307703304e-06,0.000497830466434966,4.66738690849429
"Zmat4",0.0957072098096804,0.0259607402175287,4.79139870852021,1.7482620250641e-06,0.000545012116401844,4.56284995268257
"Kcnj6",0.141084061528173,0.0553614036869285,4.78651209499642,1.79097324375622e-06,0.000547590069278464,4.53998932130174
"H3f3b",-0.574374330362159,2.47322731565504,-4.76065653789742,2.03418950555848e-06,0.000602573049558401,4.41941291714338
"Gm42418",-0.533649763489954,4.31350192048586,-4.75941800799557,2.04660322511816e-06,0.000602573049558401,4.41365318659658
"Fxyd7",0.314419278873908,0.25602535954539,4.74755148559731,2.16929022539912e-06,0.000627082641702193,4.35854308175152
"Miat",0.232554153730804,0.171604388081554,4.73806927805317,2.27237572562055e-06,0.000638851924945267,4.31460331636777
"Camk2d",0.238532809366634,0.156003323046904,4.73645676788156,2.29036793017676e-06,0.000638851924945267,4.30713966717359
"Fyco1",0.14251810899099,0.0689355350297494,4.73127885409413,2.3490725471445e-06,0.000643929386673282,4.28319010703528
"Col25a1",0.122431381322165,0.039974236854076,4.68754456209185,2.90599833283493e-06,0.000783092669385467,4.08193187162387
"Nova1",0.160769257565527,0.0721341378834163,4.67418021860329,3.10009597968665e-06,0.000821473766350635,4.02079784099659
"Dlgap1",0.304199854137038,0.26264820152574,4.67042070932811,3.15690208920024e-06,0.00082281289042942,4.00363122201596
"Dpp6",0.293332071139362,0.255365726905157,4.66695148407075,3.21020725952548e-06,0.000823211051922509,3.98780214362561
"Lrp1b",0.220725577402728,0.136580558225146,4.65092638304043,3.46784886427935e-06,0.000875163953859957,3.9148343269582
"Tspan17",0.141940255822117,0.0540222289568799,4.63798625624851,3.69025694200215e-06,0.00091674054876394,3.85609359259406
"Dner",0.372355320472851,0.414390869921607,4.62911544847312,3.85056068661847e-06,0.000941847143946877,3.81591822287181
"Aplp2",0.324512313674818,0.313186548088821,4.59650760183289,4.49916393871845e-06,0.00108382132517704,3.66888941103613
"Fau",-0.563448192291767,2.46003121250936,-4.57541614777621,4.9731464148183e-06,0.00117107245112464,3.5743326329638
"Snx30",0.143301244351975,0.0642813230456241,4.57391376750047,5.00867517934937e-06,0.00117107245112464,3.56761351765508
"Slc1a2",0.221797274473829,0.143562170270883,4.53867256674672,5.91532986579783e-06,0.0013630120222655,3.41062672109238
"Atp1b1",0.430973683559646,0.603309694167992,4.52763435194234,6.2302702278317e-06,0.00141348616319604,3.36170124596414
"Lcor",0.178769688488913,0.106288166793611,4.52365117291049,6.34781080003616e-06,0.00141348616319604,3.34407510641426
"Ahi1",0.395202673874001,0.511735675272058,4.5213947193311,6.41533592209822e-06,0.00141348616319604,3.33409675062925
"Tmtc2",0.167280132444136,0.0938477994833579,4.51892606677802,6.48999873660674e-06,0.00141348616319604,3.3231856346845
"Wdfy2",0.132680799591529,0.0620340014619233,4.51222664339707,6.69683354641196e-06,0.00143882373722167,3.29360463434569
"Rplp0",-0.521050426705181,2.80671472634639,-4.50930649102761,6.78895009379871e-06,0.00143916690055074,3.28072435361667
"Csmd2",0.122735026133343,0.052017648911935,4.49389304652181,7.29561334204764e-06,0.00152622311217389,3.21287436556521
"Bicd1",0.236397534851513,0.185669858207868,4.4847411112319,7.6133636371598e-06,0.00156560683735052,3.17269576684336
"Rmst",0.140039173304271,0.0564191082108227,4.4828453563573,7.68081849885781e-06,0.00156560683735052,3.16438315368498
"Kcnq1ot1",0.271996763755397,0.244366588915883,4.47632295820932,7.9172934068384e-06,0.0015933803528522,3.1358098082982
"Rps5",-0.515254216102155,2.77743182812418,-4.46777434843646,8.23779193761985e-06,0.00163715817520272,3.09842205956367
"Phyhipl",0.309108804286757,0.295782146032501,4.43918515906586,9.40222570502295e-06,0.00184550600597728,2.97389717082252
"Krba1",0.11453955215249,0.0485922296215348,4.4286238250762,9.87093620298701e-06,0.00191387822794257,2.92809469891923
"Acaca",0.203761807143201,0.145542879042715,4.41477850370253,1.05192975906408e-05,0.00199218035914378,2.86821298689689
"Adgrl3",0.271418949024044,0.249706440515709,4.4146523459949,1.05253883997784e-05,0.00199218035914378,2.86766819760973
"Barhl1",0.0441069299301278,0.00654558277719106,4.4094149628965,1.07812404471589e-05,0.00201659931611035,2.84506503800278
"Cxxc4",0.152909513338521,0.0774815413173789,4.40552974925087,1.09748648341345e-05,0.00202789380099794,2.82831456064902
"Nrxn1",0.412592695688073,0.57808621828245,4.40130990113623,1.11889282905256e-05,0.00202789380099794,2.81013783975679
"Atxn2",0.134139435121113,0.060156426943827,4.39956960467665,1.12783662101213e-05,0.00202789380099794,2.80264662397619
"Pard3",0.157762534658616,0.0846447226063606,4.39680481255852,1.1421861068056e-05,0.00202789380099794,2.79075140389342
"Gtf2ird2",0.0981367924360373,0.032644278151393,4.39570613352319,1.14793661293047e-05,0.00202789380099794,2.78602650114605
"Zfp536",0.128204506550457,0.056196649237563,4.38727693363729,1.19298427879209e-05,0.00208431396137532,2.74981517094511
"Rpl35",-0.533700899994249,2.47516282170363,-4.37878861865949,1.24005096958991e-05,0.00214299677885977,2.71341908940665
"Hspa5",0.412386837591599,0.580397343776586,4.37589693185578,1.2564860735835e-05,0.00214805076171012,2.70103601366628
"Chka",0.170887085030073,0.106018824994685,4.36793132946828,1.30284152222696e-05,0.00220360397466877,2.6669665836619
"C230004F18Rik",0.207405701193792,0.150070328534397,4.35764275998717,1.36513522088571e-05,0.00228466156598547,2.62305218985305
"Rpl39",-0.559247814743763,2.09350939594561,-4.33856749460432,1.48822588690078e-05,0.00246471910164953,2.54190382447848
"Nr2f2",-0.429658951196555,0.637776580485985,-4.33149150890709,1.53652389912223e-05,0.00251847355382932,2.51189098675735
"Scn3a",0.230918193027651,0.193188101916792,4.32871484230833,1.55588186935093e-05,0.0025241801878378,2.50012692917046
"Rpl37",-0.548451610371711,2.26578348785598,-4.32111376238105,1.61007122440662e-05,0.00258570933301423,2.4679610491483
"Pign",0.100655964607808,0.04117964805242,4.31814679520874,1.63170780197487e-05,0.00259425223435985,2.45542070217573
"Ndrg4",0.251496456861489,0.199888196521553,4.31511040071057,1.65413762356869e-05,0.00260387466110086,2.44259570056599
"Kirrel3",0.242631404604547,0.188403822049461,4.30406051676055,1.73827055226105e-05,0.0026838623730779,2.39599871005023
"Uncx",0.0877410047939093,0.024505935759978,4.30206808522637,1.75386858347393e-05,0.0026838623730779,2.38760922608585
"Gm29398",0.0491118663778593,0.00883180344784111,4.30066408011731,1.76494008349722e-05,0.0026838623730779,2.38169971526828
"Tead3",0.0421201480486528,0.00686907002335064,4.29971355063677,1.77247342080118e-05,0.0026838623730779,2.37769998007817
"Vash1",0.119428351675445,0.0524723219978989,4.29189939374835,1.83557624722874e-05,0.00275319120327262,2.34485180673917
"Uba52",-0.443705121745559,3.17829159718124,-4.28950179088264,1.85536343728764e-05,0.00275686198966694,2.3347848744632
"Pgm2l1",0.272467472401244,0.239748078622766,4.28276045160143,1.91209435960428e-05,0.00281485076142115,2.30650940357163
"Rpl36a",-0.543201381330409,1.41222762977992,-4.27619852821035,1.96890046913469e-05,0.00287188518887821,2.27902857672685
