"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ttr",-0.936662170155926,1.08150419986716,-7.93043408800067,3.27942362268287e-15,5.13295385422322e-11,23.8981333984519
"Tfap2b",0.147375150416619,0.0266252025935399,6.66010086211547,3.36178181997929e-11,2.63093045231579e-07,14.9767900809478
"Car8",0.189895735737887,0.0451488530679666,6.48173832546823,1.0912003207368e-10,5.69315580672411e-07,13.8437854629022
"Hbb-bt",-0.764228924344115,1.87505125877447,-5.76146555016209,9.37607686663051e-09,3.66885887791252e-05,9.57162883202738
"Snhg11",0.452424893721833,0.262900559103955,5.67756636310964,1.526310382854e-08,4.77796202248616e-05,9.10575928172152
"Ptgds",-0.515765893031831,0.531066215453415,-5.4956992859642,4.29100066818627e-08,0.000111937904097419,8.11876233637866
"Rab6b",0.501961226323258,0.523241144055029,5.46002277394568,5.23654555522947e-08,0.000117089158614931,7.92882116655273
"Arhgdig",0.343564752150183,0.221779753930836,5.41962704067265,6.55159335859219e-08,0.000128181924060856,7.71521217048365
"Tubb2a",0.686588146146465,2.09541385323468,5.29713577214621,1.28037862745508e-07,0.000222672069743632,7.0769592104072
"Prkcb",0.215718829057936,0.0953936775378578,5.16041291461294,2.66030827988532e-07,0.000386874543422426,6.38139417420995
"Igfbpl1",-0.597172754625089,0.949274989277522,-5.14096501121849,2.94774385658943e-07,0.000386874543422426,6.28389990223081
"Ebf3",0.0923521601442955,0.0164224409046054,5.13978797196363,2.9660711225844e-07,0.000386874543422426,6.27801084642967
"Nefl",0.381477531390344,0.332892548335946,5.00842890665557,5.87556868862529e-07,0.000707418470110485,5.6290795825551
"Ptn",0.621590601026505,1.25947818384892,4.92138418316152,9.16011393212505e-07,0.00102410073761158,5.20813293946799
"AW551984",0.258193632308945,0.163367900784898,4.76181831277071,2.02963612007678e-06,0.00200116738535717,4.45526975804395
"Grid2",0.129992628767389,0.0497433482661712,4.76021677775925,2.04566050125956e-06,0.00200116738535717,4.44783680210303
"Hap1",0.250787722564881,0.157472993567391,4.66998112910312,3.17380897031793e-06,0.00292214458843625,4.03300589911209
"H3f3b",-0.571138189041182,2.44261096073125,-4.57047320049658,5.10607588060536e-06,0.00436658056933798,3.58459084786344
"Arpp21",0.271760455018153,0.201565399821879,4.56256545473052,5.30060253114117e-06,0.00436658056933798,3.54936307891568
"Serpine2",0.266113303537742,0.204139261038707,4.40968461778544,1.07958234009793e-05,0.00836711890677513,2.88009562945921
"Eps15",0.195351890060942,0.116032839386543,4.40114819151004,1.12260092666929e-05,0.00836711890677513,2.84338711980574
"Ptma",-0.473297607011706,3.08010759214415,-4.37485611518515,1.26562623009501e-05,0.00900435534247598,2.7307652918415
"Cd24a",-0.559558811058628,1.47487599699315,-4.3633333565141,1.33364886113791e-05,0.00907577042370896,2.6816170249341
"Hspa5",0.41435972346282,0.564576933467468,4.33737925507044,1.49987449897588e-05,0.00978168152415438,2.57138187522911
"Sox11",-0.49106251100791,0.929995481633835,-4.29786284895974,1.79142915508666e-05,0.0112157796541666,2.40478702021374
"Shroom2",0.155232163336145,0.0722189784909963,4.2820437412144,1.92266736758501e-05,0.0115744575528618,2.33851708805914
"Nap1l5",0.301446900203858,0.288367830356979,4.21154971415721,2.62721372031971e-05,0.0152300552409052,2.04612810333252
"Tmem196",0.0732102878950327,0.0191654201966994,4.13842796577867,3.61416837381069e-05,0.0192397494523077,1.7478945353099
"Rpl36",-0.550273883582395,1.75560755190921,-4.13476465319974,3.6718980425307e-05,0.0192397494523077,1.73308884387061
"Syt1",0.433071369967101,0.711451437946186,4.13322414788376,3.69643539414077e-05,0.0192397494523077,1.72686657910775
"Rps4x",-0.507562304950199,2.57564380443182,-4.12488762544456,3.8319457575643e-05,0.0192397494523077,1.69323414229474
"Grm8",0.0710291270786917,0.0186593192809413,4.1096731612073,4.09150739957672e-05,0.0192397494523077,1.63202630871282
"Gipc2",0.0434443338806599,0.00827601973243123,4.10125252230923,4.24225440476828e-05,0.0192397494523077,1.59824594301396
"Pcdh7",0.213199774554723,0.156609171456753,4.09950286145755,4.27423169390885e-05,0.0192397494523077,1.59123555052905
"Atp1b1",0.408570491580111,0.637969777026228,4.09736680800085,4.31358101704753e-05,0.0192397494523077,1.58268099245906
"Pcp4",0.357568007927213,0.438656762537151,4.09140722642503,4.4251915428257e-05,0.0192397494523077,1.55883705464615
"C2cd2",0.0803416266538765,0.0248365788956583,4.08110667306983,4.62458942062738e-05,0.0195632631382864,1.51770585595941
"Mrs2",0.131317255783517,0.0646538360450261,4.06779721658399,4.8948778724481e-05,0.0197944398798224,1.46471123640861
"Tuba1b",0.462399959800148,0.875043542557856,4.06601592122454,4.93216940527137e-05,0.0197944398798224,1.45763156149094
"Pcp2",0.0448575220898444,0.00630184622071869,4.0455000215041,5.38155756208586e-05,0.021058034740442,1.376312593059
"Gabrg1",0.204952843523665,0.170695428333296,4.03618468947852,5.59817748508101e-05,0.0213713839015824,1.33952333821199
"Tjp1",0.153877873064801,0.0897219672256094,4.02291864916227,5.92097508659014e-05,0.0216632419270435,1.28727590245593
"Rpl32",-0.511121800316679,2.45399489073617,-4.02170224895023,5.95144008984712e-05,0.0216632419270435,1.28249368427736
"Kcnip4",0.13301514927656,0.0605121216170411,4.00917951019022,6.27383108508196e-05,0.0223177282144779,1.23334411936698
"Nalcn",0.127637480432577,0.0644965803896979,3.96585285462073,7.52159157488933e-05,0.0261617669622595,1.06446171558809
"H2afz",-0.504470230499529,1.34930438412554,-3.95434871165596,7.89039646981988e-05,0.0268479316403523,1.01992418814236
"Baiap3",0.0591691927765621,0.014789682227324,3.93791069136506,8.44716166199485e-05,0.0281308456028816,0.956507129252308
"Atp1a3",0.26257196098945,0.278275117688599,3.90690760306031,9.59981257046907e-05,0.0311158040176012,0.837608666700588
"Synpr",0.0435635259494649,0.00857888676922531,3.90335289271176,9.74108354754956e-05,0.0311158040176012,0.824035467439441
"Cadm2",0.31455342757675,0.382233680704852,3.88334410643641,0.000105736232749785,0.0328565947468481,0.747862156859483
"Lhx6",-0.217791389151641,0.173691183695983,-3.88030303285123,0.000107058927427118,0.0328565947468481,0.73631865754693
"Mpp5",0.072949130087017,0.0185628091799859,3.86159606349269,0.000115545342724814,0.034779148160169,0.665506034061352
"Caly",0.317885621754096,0.397813532792253,3.85289260483698,0.000119706502036121,0.0353518145258371,0.632675525540901
"Gprin3",0.115219893132929,0.0499126661501162,3.8416189865277,0.000125306864542778,0.0363204267374734,0.590258846344766
"Gnao1",0.383231617296077,0.636452423374448,3.8347391643195,0.00012884499726183,0.036666943584403,0.564434036314855
"Tmsb4x",-0.367682218723195,3.48086146278011,-3.82753857669679,0.000132648867741615,0.0370455846551803,0.537454149395701
"Mab21l2",0.0588341000858547,0.0133838773712507,3.82335157955599,0.000134909169776724,0.0370455846551803,0.521788922748632
"Luzp2",0.205853888445986,0.162505339225926,3.80827713296109,0.00014335123273427,0.0386850602544274,0.465529697929234
"Coq7",-0.163445473804738,0.0977106370572326,-3.80155573403994,0.000147273692338841,0.0389852067791801,0.440515608081572
"C230004F18Rik",0.191731248524698,0.154631832436965,3.79790730986605,0.000149444953153003,0.0389852067791801,0.426956061646829
"Actb",-0.27468868592055,3.90908651496104,-3.78344341580313,0.000158353048476008,0.0406318346679751,0.373326904520938
"Rpl11",-0.482348256885507,2.34149816860084,-3.76192693303591,0.000172534431552907,0.0435565955268726,0.293922391291971
"Tmem246",0.179464969217869,0.131316453254087,3.74981319843794,0.000181035893559143,0.044977361999805,0.24941475882753
"En1",0.0379299855595417,0.00532862550168432,3.73724879825718,0.000190268998417853,0.0465326619255662,0.203401230426734
